"strain","species","species_match","contig_count","N50","largest_contig","total_size","ambiguous_bases","QC_warnings","ST","virulence_score","resistance_score","num_resistance_classes","num_resistance_genes","Yersiniabactin","YbST","Colibactin","CbST","Aerobactin","AbST","Salmochelin","SmST","RmpADC","RmST","rmpA2","wzi","K_locus","K_type","K_locus_problems","K_locus_confidence","K_locus_identity","K_locus_missing_genes","O_locus","O_type","O_locus_problems","O_locus_confidence","O_locus_identity","O_locus_missing_genes","AGly_acquired","Col_acquired","Fcyn_acquired","Flq_acquired","Gly_acquired","MLS_acquired","Phe_acquired","Rif_acquired","Sul_acquired","Tet_acquired","Tgc_acquired","Tmt_acquired","Bla_acquired","Bla_inhR_acquired","Bla_ESBL_acquired","Bla_ESBL_inhR_acquired","Bla_Carb_acquired","Bla_chr","SHV_mutations","Omp_mutations","Col_mutations","Flq_mutations","truncated_resistance_hits","spurious_resistance_hits","Chr_ST","gapA","infB","mdh","pgi","phoE","rpoB","tonB","ybtS","ybtX","ybtQ","ybtP","ybtA","irp2","irp1","ybtU","ybtT","ybtE","fyuA","clbA","clbB","clbC","clbD","clbE","clbF","clbG","clbH","clbI","clbL","clbM","clbN","clbO","clbP","clbQ","iucA","iucB","iucC","iucD","iutA","iroB","iroC","iroD","iroN","rmpA","rmpD","rmpC","spurious_virulence_hits","meropenem_MIC"
"ERR1204827","Klebsiella pneumoniae","strong",162,220417,458762,5642048,"no","-","ST11",1,2,10,12,"ybt 9; ICEKp3","183","-","0","-","0","-","0","-","0","-","wzi50","KL15","K15","none","Very high","99.88%",NA,"O4","O4","?-","Good","99.66%","O4_06_glycosyltransferase","aac(3)-IIa.v1^;aac(6')-Ib;aadA2^;rmtF","-","-","-","-","mphA","CatB4.v1?","arr-2","sul1","-","-","dfrA12","OXA-1","-","CTX-M-15","-","NDM-1","SHV-11","35Q","OmpK36-34%","-","GyrA-83I;ParC-80I","aph3-Ia.v1*?-0%","-","ST11","3","3","1","1","1","1","4","5","11","6","5","1","25","37","9","5","5","11","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",">32"
"ERR1204828","Klebsiella pneumoniae","strong",85,373014,1197696,5233714,"no","-","ST37",0,0,0,0,"-","0","-","0","-","0","-","0","-","0","-","wzi14","KL14","K14","?-","Good","99.96%","KL14_19_manC,KL14_20_manB","O3b","O3b","?-","Good","99.36%","O3b_01_manC,O3b_02_manB","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","SHV-11^","35Q","-","-","-","-","-","ST37","2","9","2","1","13","1","16","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","≤0.06"
"ERR1204829","Klebsiella pneumoniae","strong",107,195787,604603,5550159,"no","-","ST258",0,2,7,8,"-","0","-","0","-","0","-","0","-","0","-","wzi154","KL107","unknown (KL107)","?","Good","99.99%",NA,"O1/O2v2","O2afg","none","Very high","98.38%",NA,"aac(6')-Ib'.v1;aadA2^;aph3-Ia.v1^","-","-","-","-","mphA","catA1^","-","sul1","-","-","dfrA12","-","-","-","-","KPC-3","SHV-11","35Q","OmpK35-25%;OmpK36GD","-","GyrA-83I;ParC-80I","-","-","ST258","3","3","1","1","1","1","79","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",">32"
"ERR1204830","Klebsiella pneumoniae","strong",69,390875,1025968,5428013,"no","-","ST11",0,0,8,9,"-","0","-","0","-","0","-","0","-","0","-","wzi50","KL15","K15","none","Very high","99.78%",NA,"O4","O4","none","Very high","99.66%",NA,"aac(6')-Ib-cr.v2^","-","-","qnrB4","-","mphA","catB3.v2","arr-3","sul1","tet(A).v1","-","-","DHA-1;OXA-1*","-","-","-","-","SHV-11","35Q","OmpK35-40%","-","GyrA-83I;ParC-80I","-","-","ST11","3","3","1","1","1","1","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","≤0.06"
"ERR1204831","Klebsiella pneumoniae","strong",74,336793,638721,5250816,"no","-","ST17",1,0,0,0,"ybt 14; ICEKp5","140-2LV","-","0","-","0","-","0","-","0","-","wzi141","KL25","K25","-","High","99.15%","KL25_09_wfeD","O5","O5","*","High","94.21%",NA,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","SHV-11^","35Q","OmpK36-24%","-","-","-","-","ST17","2","1","1","1","4","4","4","4","4","31","4","1","67","372","2","4","4","182","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","≤0.06"
"ERR1204832","Klebsiella pneumoniae","strong",91,224953,1000370,5519879,"no","-","ST11",1,1,6,8,"ybt 10; ICEKp4","26","-","0","-","0","-","0","-","0","-","wzi75","KL105","unknown (KL105)","none","Perfect","100.00%",NA,"O1/O2v2","O2afg","none","Very high","98.44%",NA,"aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;aadA2","-","-","-","-","-","-","arr-3","sul1","-","-","-","OXA-1;TEM-1D.v1","-","CTX-M-15","-","-","SHV-11","35Q","-","-","GyrA-83I;ParC-80I","-","CatB4.v1?-0%;catB3.v2?-0%","ST11","3","3","1","1","1","1","4","16","12","4","3","3","35","33","3","10","9","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.5"
"ERR1204834","Klebsiella pneumoniae","strong",72,368853,698580,5398410,"no","-","ST104",1,0,0,0,"ybt 9; ICEKp3","183","-","0","-","0","-","0","-","0","-","wzi102","KL31","K31","?-+","Good","99.07%","KL31_19_manB","O3b","O3b","?-","Good","99.77%","O3b_02_manB","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","SHV-71","146V","-","-","-","-","-","ST104","2","3","1","1","2","1","43","5","11","6","5","1","25","37","9","5","5","11","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","≤0.06"
"ERR1204835","Klebsiella pneumoniae","strong",115,275001,447987,5457743,"no","-","ST395",1,1,8,9,"ybt 16; ICEKp12","530-2LV","-","0","-","0","-","0","-","0","-","wzi2","KL2","K2","none","Very high","99.75%",NA,"O1/O2v1","O1ab","-","High","99.97%","O1/O2v1_02_wzt","aac(6')-Ib-cr.v2","-","-","qnrS1","-","-","CatB4.v1?","-","sul1","tet(A).v1","-","dfrA1.v1","OXA-1;TEM-1D.v1^","-","CTX-M-15","-","-","SHV-11","35Q","OmpK35-72%","-","GyrA-83I;ParC-80I","-","-","ST395","3","1","2","4","1","1","4","87","15","121","126","11","245","325","2","11","4","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","4"
"ERR1204836","Klebsiella pneumoniae","strong",113,336793,638906,5471552,"no","-","ST17",1,0,0,0,"ybt 14; ICEKp5","140-2LV","-","0","-","0","-","0","-","0","-","wzi141","KL25","K25","-","High","99.15%","KL25_09_wfeD","O5","O5","*","High","94.21%",NA,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","SHV-1^","-","OmpK36-24%","-","-","-","-","ST17","2","1","1","1","4","4","4","4","4","31","4","1","67","372","2","4","4","182","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.25"
"ERR1204837","Klebsiella pneumoniae","strong",74,666333,1352848,5499549,"no","-","ST995",0,1,8,11,"-","0","-","0","-","0","-","0","-","0","-","wzi215","KL117","unknown (KL117)","none","Very high","99.65%",NA,"O1/O2v1","O1ab","none","Very high","98.50%",NA,"aac(6')-Ib-cr.v2;strA.v1^;strB.v1","-","-","qnrB1.v2^","-","-","CatB4.v1?","-","sul2","tet(A).v1","-","dfrA14.v2*","OXA-1*;TEM-1D.v1^","-","CTX-M-15","-","-","-","-","-","-","-","SHV-106*-89%","-","ST995","2","6","1","1","1","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","≤0.06"
"ERR1204839","Klebsiella pneumoniae","strong",101,359823,899617,5392578,"no","-","ST17",1,0,0,0,"ybt 14; ICEKp5","140-1LV","-","0","-","0","-","0","-","0","-","wzi141","KL25","K25","-","High","99.16%","KL25_09_wfeD","O5","O5","*","High","94.21%",NA,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","SHV-1^","-","-","-","-","-","-","ST17","2","1","1","1","4","4","4","4","4","31","4","1","67","171","2","4","4","182","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","≤0.06"
"ERR1204840","Klebsiella pneumoniae","strong",65,331832,832657,5335938,"no","-","ST113",1,0,0,0,"ybt 8; ICEKp3","372-1LV","-","0","-","0","-","0","-","0","-","wzi355","KL114","unknown (KL114)","none","Very high","99.22%",NA,"O3/O3a","O3/O3a","none","Very high","97.86%",NA,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","SHV-1","-","-","-","-","-","-","ST113","14","1","2","1","21","1","23","5","11","94","5","66","226","239","9","60","116","119","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","≤0.06"
"ERR1204842","Klebsiella pneumoniae","strong",165,133572,274901,5581949,"no","-","ST11",1,1,7,12,"ybt 10; ICEKp4","26","-","0","-","0","-","0","-","0","-","wzi75","KL105","unknown (KL105)","none","Very high","100.00%",NA,"O1/O2v2","O2afg","none","Very high","98.44%",NA,"aac(3)-IIa.v1^;aadA*;aadA2","-","-","-","-","-","CatB4.v1?;catA1^","-","sul1","-","-","dfrA12;dfrA14.v2*","OXA-1;OXA-9.v1;TEM-1D.v1^","-","CTX-M-15","-","-","SHV-11","35Q","-","-","GyrA-83I;ParC-80I","-","aac(6')-Ib-Hangzhou*?-0%;aac(6')-Ib-Suzhou*?-0%;aac(6')-Ib-cr.v2?-46%","ST11","3","3","1","1","1","1","4","16","12","4","3","3","35","33","3","10","9","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","≤0.06"
"ERR1204843","Klebsiella pneumoniae","strong",150,222084,402949,5859237,"no","-","ST37",0,1,10,19,"-","0","-","0","-","0","-","0","-","0","-","-","KL60","K60","none","Very high","99.03%",NA,"O5","O5","none","Very high","99.64%",NA,"aac(3)-IIg;aac(6')-IIc;aadA2^;aph3-Ia.v1^;strA.v1;strB.v1","mcr-9.1","-","qnrB4","-","mphA","CatB4.v1?;catII.2*","-","sul1","tet(D)","-","dfrA12;dfrA19*","DHA-1;OXA-1;TEM-1D.v1^","-","CTX-M-15","-","-","SHV-11^","35Q","OmpK35-16%","-","GyrA-83I;ParC-80I","aac(6')-Ib10*-6%;ereA2*?-0%","-","ST37","2","9","2","1","13","1","16","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","≤0.06"
"ERR1204844","Klebsiella pneumoniae","strong",104,349536,490249,5500053,"no","-","ST25",1,0,5,7,"ybt 6; ICEKp5","63","-","0","-","0","-","0","-","0","-","wzi72","KL2","K2","none","Very high","98.41%",NA,"O1/O2v2","O1ab","none","Very high","99.19%",NA,"aph3-Ia.v1*?;strA.v1^;strB.v1","-","-","-","-","-","-","-","sul2","tet(D)","-","dfrA14.v2*","TEM-1D.v1^","-","-","-","-","SHV-11^","35Q","-","-","-","sul1?-0%","-","ST25","2","1","1","1","10","4","13","22","22","6","24","16","53","51","9","17","5","30","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","≤0.06"
"ERR1204845","Klebsiella pneumoniae","strong",150,149283,282571,5533715,"no","-","ST11",1,1,7,13,"ybt 10; ICEKp4","26","-","0","-","0","-","0","-","0","-","wzi75","KL105","unknown (KL105)","none","Very high","100.00%",NA,"O1/O2v2","O2afg","?","Good","98.44%",NA,"aac(3)-IIa.v1^;aac(6')-Ib'.v1*;aadA*;aadA2","-","-","-","-","-","CatB4.v1?;catA1^","-","sul1","-","-","dfrA12;dfrA14.v2*","OXA-1;OXA-9.v1;TEM-1D.v1^","-","CTX-M-15","-","-","SHV-11","35Q","-","-","GyrA-83I;ParC-80I","-","-","ST11","3","3","1","1","1","1","4","16","12","4","3","3","35","33","3","10","9","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1"
"ERR1204846","Klebsiella pneumoniae","strong",171,130865,274901,5593573,"no","-","ST11",1,1,7,15,"ybt 10; ICEKp4","26","-","0","-","0","-","0","-","0","-","wzi75","KL105","unknown (KL105)","none","Perfect","100.00%",NA,"O1/O2v2","O2afg","none","Very high","98.45%",NA,"aac(3)-IIa.v1^;aadA*;aadA2","-","-","qnrB4","-","-","CatB4.v1?;catA1^","-","sul1;sul1","-","-","dfrA12;dfrA14.v2*","DHA-1;OXA-1;OXA-9.v1;TEM-1D.v1^","-","CTX-M-15","-","-","SHV-11","35Q","-","-","GyrA-83I;ParC-80I","aac(6')-Ib'.v1?-90%","-","ST11","3","3","1","1","1","1","4","16","12","4","3","3","35","33","3","10","9","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","≤0.06"
"ERR1204847","Klebsiella pneumoniae","strong",164,163049,351079,5563458,"no","-","ST11",1,1,7,13,"ybt 10; ICEKp4 (truncated)","26-1LV","-","0","-","0","-","0","-","0","-","wzi75","KL105","unknown (KL105)","none","Perfect","100.00%",NA,"O1/O2v2","O2afg","?-","Good","98.42%","O1/O2v2_04_glf","aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;aadA2","-","-","qnrB4","-","-","CatB4.v1?;catA1^","-","sul1;sul1","-","-","dfrA12;dfrA14.v2*","DHA-1;OXA-1","-","CTX-M-15","-","-","SHV-11","35Q","-","-","GyrA-83I;ParC-80I","-","-","ST11","3","3","1","1","1","1","4","16","12","4","3","3*-0%","35","33","3","10","9","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.12"
"ERR1204848","Klebsiella pneumoniae","strong",59,462365,1014741,5608772,"no","-","ST1801",4,0,0,0,"ybt 16; ICEKp12","277-2LV","-","0","iuc 3","32","-","0","-","0","-","-","KL35","K35","none","Very high","99.33%",NA,"O1/O2v1","O1ab","none","Very high","98.15%",NA,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","SHV-11^","35Q","-","-","-","-","fosA7*?-0%","ST1801","2","1","1","26","3","5","54","6","15","5","4","11","245","23","103","11","4","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9","11","12","8","17","-","-","-","-","-","-","-","-","≤0.06"
"ERR1204849","Klebsiella pneumoniae","strong",90,370323,785277,5589696,"no","-","ST42",0,0,0,0,"-","0","-","0","-","0","-","0","-","0","-","wzi33","KL64","K64","none","Very high","99.85%",NA,"O1/O2v1","O1ab","none","Very high","99.32%",NA,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","SHV-1","-","-","-","-","-","-","ST42","2","6","1","3","8","1","15","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","≤0.06"
"ERR1204850","Klebsiella pneumoniae","strong",109,359563,572147,5394505,"no","-","ST2447",1,0,0,0,"ybt 8; ICEKp3","372","-","0","-","0","-","0","-","0","-","wzi466","KL35","K35","none","Very high","98.80%",NA,"O3/O3a","O3/O3a","none","Very high","97.86%",NA,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","SHV-1","-","-","-","-","-","-","ST2447","14","1","2","1","9","1","23","5","11","94","5","66","226","239","9","60","5","119","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","≤0.06"
"ERR1204851","Klebsiella pneumoniae","strong",124,216045,490015,5646996,"no","-","ST258",2,2,6,8,"ybt 17; ICEKp10","289","clb 3","52","-","0","-","0","-","0","-","wzi154","KL107","unknown (KL107)","?","Good","99.99%",NA,"O1/O2v2","O2afg","none","Very high","98.38%",NA,"aac(6')-Ib'.v1;aadA*;strA.v1^;strB.v1","-","-","-","-","-","-","-","sul2","-","-","dfrA14.v2*","OXA-9.v1","-","-","-","KPC-3","SHV-11","35Q","OmpK35-25%","-","GyrA-83I;ParC-80I","-","TEM-112?-46%;TEM-150?-0%","ST258","3","3","1","1","1","1","79","6","15","5","4","11","28","26","2","11","4","2","2","39","2","2","2","2","2","8","2","2","2","2","2","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-","4"
"ERR1204852","Klebsiella pneumoniae","strong",140,202554,453610,5506710,"no","-","ST11",1,1,8,15,"ybt 10; ICEKp4 (truncated)","26-1LV","-","0","-","0","-","0","-","0","-","wzi75","KL105","unknown (KL105)","?","Good","100.00%",NA,"unknown (O1/O2v2)","unknown (O2afg)","?-","None","98.50%","O1/O2v2_04_glf,O1/O2v2_05_wbbN","aac(3)-IIa.v1^;aac(6')-Ib'.v1*;aadA*;aadA2","-","-","qnrB4","-","-","CatB4.v1?;catA1^","-","sul1;sul1","-","-","dfrA12","DHA-1;OXA-1;OXA-9.v1;TEM-1D.v1^","-","CTX-M-15","-","-","SHV-11","35Q","-","MgrB-53%","GyrA-83I;ParC-80I","-","-","ST11","3","3","1","1","1","1","4","16","12","4","3","3","35*-71%","33","3","10","9","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.12"
"ERR1204854","Klebsiella pneumoniae","strong",120,159063,389324,5563096,"no","-","ST11",1,1,7,16,"ybt 10; ICEKp4","26","-","0","-","0","-","0","-","0","-","wzi75","KL105","unknown (KL105)","?","Good","100.00%",NA,"O1/O2v2","O2afg","none","Very high","98.45%",NA,"aac(3)-IIa.v1^;aac(6')-Ib'.v1;aadA*;aadA2^","-","-","qnrB4","-","-","CatB4.v1?;catA1^","-","sul1;sul1","-","-","dfrA12;dfrA14.v2*","DHA-1;OXA-1;OXA-9.v1;TEM-1D.v1^","-","CTX-M-15","-","-","SHV-11","35Q","-","-","GyrA-83I;ParC-80I","-","-","ST11","3","3","1","1","1","1","4","16","12","4","3","3","35","33","3","10","9","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.12"
